provinsi,kalori,protein,putus_sd,putus_smp,putus_sma,putus_smk,jml_sklh_sd,jml_gr_sd,jml_sklh_smp,jml_gr_smp,jml_sklh_sma,jml_gr_sma,jml_sklh_smk,jml_gr_smk,keluarga_penerima,ipm_2024,aps_7_12,aps_13_15,aps_16_18,aps_19_23,penduduk_miskin,banjir,gempa_bumi,tanah_longsor,internet_kota,internet_desa,internet_kotadesa,lama_sekolah,kendaraan,pendapatan_pertanian,pendapatan_industri,pendapatan_jasa,penyelesaian_pendidikanSD2020,penyelesaian_pendidikanSMP2020,penyelesaian_pendidikanSMA2020,penyelesaian_pendidikanSD2021,penyelesaian_pendidikanSMP2021,penyelesaian_pendidikanSMA2021,penyelesaian_pendidikanSD2022,penyelesaian_pendidikanSMP2022,penyelesaian_pendidikanSMA2022,penyelesaian_pendidikanSD2023,penyelesaian_pendidikanSMP2023,penyelesaian_pendidikanSMA2023,penyelesaian_pendidikanSD2024,penyelesaian_pendidikanSMP2024,penyelesaian_pendidikanSMA2024,ketahanan_pangan,airminum_layak,pengeluaran_pangan_dan_nonpangan,murid_sd,murid_smp,murid_sma,total_murid
D.K.I. Jakarta,2073.28,68.15,4420,420,130,870,2223,38987,1068,19472,5040,12114,5560,1162,812769,83.08,99.25,98.36,79.95,32.98,44907,88.0,,8.0,98.18,,98.18,11.49,12057335,,3213.0,2338.6,97.8,94.57,85.67,99.26,95.0,84.98,98.58,95.4,87.71,98.66,95.85,88.1,98.91,95.63,88.92,85.13,99.96,2794485,746219,354754,190143,1291116
Jawa Barat,2069.91,62.26,5189,1276,2860,7850,19538,214568,6051,97139,182,44558,2922,57274,15381114,74.43,99.46,95.86,71.15,26.59,366835,701.0,1484.0,1045.0,92.83,82.2,90.58,8.87,27104924,1160.7,1954.0,1283.3,97.76,88.17,63.56,98.45,88.18,64.89,99.08,89.29,67.05,99.09,91.42,66.47,98.99,91.4,66.76,82.97,94.9,1633032,4512957,1860764,842760,7216481
Jawa Tengah,1993.03,59.23,1353,3870,2260,7160,18597,167119,3456,69629,8680,26094,1547,45706,12319492,73.88,99.57,97.12,71.6,25.61,339634,829.0,512.0,913.0,91.12,86.44,88.89,8.02,21561850,1186.1,2149.9,1421.1,97.2,89.0,55.82,98.06,88.44,59.9,98.01,90.02,58.75,98.42,90.64,58.35,98.4,91.72,58.67,85.34,95.43,1271678,2578683,1218864,463548,4261095
D.I. Yogyakarta,2015.51,62.32,540,50,00,90,1841,20181,4530,8734,1750,4124,2070,6162,1305356,81.55,99.65,98.9,90.36,54.17,43047,28.0,46.0,64.0,91.71,82.34,89.5,,3340248,1234.1,1863.9,952.6,96.43,92.36,87.99,98.48,94.94,90.12,98.91,97.06,87.92,98.95,97.02,89.69,98.87,96.57,90.71,84.15,96.91,1758865,266274,131191,62739,460204
Jawa Timur,2046.2,60.48,2141,178,7370,1263,18975,18194,5048,79888,1516,34987,216,48639,11806155,74.09,99.34,97.68,76.44,28.88,389382,732.0,361.0,371.0,90.64,82.22,86.9,8.28,25959164,1214.1,2107.7,1404.2,96.81,89.98,63.53,97.76,90.3,66.33,98.71,90.47,66.87,98.78,90.74,68.65,98.83,92.24,67.35,83.86,96.93,1356943,2501792,1242211,559314,4303317
Banten,2184.28,66.03,1774,2750,1770,2370,4652,58652,1622,23979,6100,12734,7370,14081,2197612,74.48,99.52,96.67,71.91,26.04,77749,267.0,150.0,86.0,94.98,84.91,93.02,9.23,8478705,1081.8,2361.8,1668.9,96.03,86.7,64.24,98.82,90.63,66.9,97.24,92.65,66.02,97.15,90.86,70.07,97.84,91.56,69.48,79.25,94.01,1772162,1222771,454206,228932,1905909
Bali,2295.02,67.22,1360,430,110,160,2407,25803,4020,1111,1610,5893,1690,5654,598381,77.76,99.65,98.79,85.17,35.39,17621,40.0,87.0,112.0,94.74,85.25,92.16,9.54,5277566,1693.5,2511.3,1857.2,96.66,93.21,74.88,97.02,94.26,75.86,97.55,94.15,76.59,98.43,93.03,76.51,98.6,92.2,78.28,88.23,98.32,1872760,382494,188999,92205,663698
Nusa Tenggara Barat,2419.21,74.45,1068,3870,3850,4100,3352,46093,1093,22959,3780,10149,3410,8235,1998584,70.93,99.47,97.86,77.81,28.88,6586,177.0,83.0,30.0,89.12,83.74,86.54,7.87,2329806,916.7,1530.5,1302.4,97.29,89.91,64.66,98.71,92.19,65.71,98.47,95.39,61.0,98.11,92.95,63.66,98.72,94.74,66.23,78.44,96.13,1277139,517585,180567,121665,819817
Nusa Tenggara Timur,1930.43,55.06,2765,6860,5480,6770,5247,56753,1858,32379,6180,17083,3550,95,2355814,67.39,98.81,94.76,75.75,33.24,110794,233.0,694.0,300.0,94.88,77.81,82.45,8.02,1152713,733.1,1519.6,1334.8,86.92,78.81,50.65,91.84,78.83,44.88,92.35,83.25,38.47,93.41,82.48,43.46,93.18,79.66,47.9,70.91,88.55,975854,653369,307979,200800,1162148
Kalimantan Barat,1903.38,58.52,1043,4020,2110,2520,4455,41287,1388,17147,4830,8996,2350,4955,1185869,70.13,99.0,93.05,69.39,26.98,33399,922.0,,67.0,96.47,90.31,92.65,7.78,3301058,1664.3,2304.6,1724.2,91.79,80.88,55.23,94.29,79.65,54.27,95.13,81.82,58.4,95.33,81.56,55.58,95.58,85.51,55.72,73.94,82.13,1388077,558189,235434,134647,928270
Kalimantan Tengah,2050.6,61.84,4330,1900,980,340,2653,2708,8770,10831,2480,5278,1390,3198,361252,72.73,99.32,95.24,68.33,24.12,14924,609.0,,14.0,96.46,88.79,92.13,8.81,1787508,2111.9,2887.8,1696.7,95.45,84.83,60.77,97.45,89.76,61.04,98.51,87.79,61.88,97.47,88.92,63.93,97.67,91.93,67.94,70.16,78.71,1590691,276425,107163,63946,447534
Kalimantan Selatan,2198.3,69.2,3760,1310,340,350,2923,30414,6330,9659,2100,5052,1260,4149,613042,73.03,99.3,93.7,72.31,29.45,1802,520.0,,40.0,92.04,86.44,89.22,8.62,3213107,1306.4,2211.6,1679.8,94.1,82.48,63.05,95.67,84.06,63.59,94.68,87.95,67.81,95.99,88.19,68.35,96.41,88.39,67.2,82.95,77.34,1534039,351065,114931,70031,536027
